Name,fits,z_lens,z_source,bSIE,instrume,detector,cx,cy,r_ring_pix,A_arc,C_arc,Astd_arc,Npix_arc
J1205+4910,HST_10494_b5_NIC_NIC2_F160W_01_drz.fits,0.215,0.4808,1.22,NICMOS,,329.06612679570424,333.72600271874956,5.0,0.30515799324618964,0.30515799324618964,0.6467642838885029,38
J1250+0523,HST_10494_b3_NIC_NIC2_F160W_01_drz.fits,0.2318,0.7953,1.13,NICMOS,,322.36301292086597,342.27773421567923,15.0,0.04548953242354873,0.04548953242354873,0.5716465480725301,113
J1402+6321,HST_10494_a5_NIC_NIC2_F160W_03_drz.fits,0.2046,0.4814,1.35,NICMOS,,336.4970461216499,361.7763819122701,9.0,-0.28017642077391963,0.28017642077391963,0.5302746800243496,68
J1403+0006,HST_10798_33_NIC_NIC2_F160W_02_drz.fits,0.1888,0.473,0.83,NICMOS,,320.84937198940094,322.59313031820574,36.0,0.12348844080437796,0.12348844080437796,0.6382543978353565,612
J1420+6019,HST_10494_b2_NIC_NIC2_F160W_03_drz.fits,0.0629,0.5351,1.04,NICMOS,,255.93406592818403,266.18044992221166,5.0,0.10461330079783308,0.10461330079783308,0.6182102155268455,38
J1430+4105,hst_11202_99_wfc3_ir_f160w_01_drz.fits,0.285,0.5753,1.52,WFC3,IR,1103.7362920069916,767.5081069674185,173.0,-0.030051468817455424,0.030051468817455424,0.6983612145533614,14102
J1531-0105,HST_10798_37_NIC_NIC2_F160W_01_drz.fits,0.1596,0.7439,1.71,NICMOS,,356.3775529189052,372.4223808365839,21.0,0.046195427102913224,0.046195427102913224,0.605980367025439,208
J1538+5817,HST_10798_38_NIC_NIC2_F160W_02_drz.fits,0.1428,0.5312,1.0,NICMOS,,295.7629915586091,314.70640130109,25.0,0.08799377009842137,0.08799377009842137,0.6149332834380464,295
J1630+4520,HST_10494_a6_NIC_NIC2_F160W_01_drz.fits,0.2479,0.7933,1.78,NICMOS,,300.71650595868584,300.5123186727528,5.0,0.7863982635497601,0.7863982635497601,0.296393412241473,38
J1636+4707,hst_11202_60_wfc3_ir_f160w_02_drz.fits,0.2282,0.6745,1.09,WFC3,IR,787.0922821080359,793.0660869143536,245.0,-0.026960966684019587,0.026960966684019587,0.7208399764396555,28291
J2238-0754,HST_10494_a0_NIC_NIC2_F160W_02_drz.fits,0.1371,0.7126,1.27,NICMOS,,307.9188344690309,334.0780742780109,18.0,0.1725615512740328,0.1725615512740328,0.572176732711614,153
J2300+0022,HST_10494_a8_NIC_NIC2_F160W_03_drz.fits,0.2285,0.4635,1.24,NICMOS,,306.25934282355655,330.618330119597,27.0,0.18613747011934917,0.18613747011934917,0.5899033176177378,345
J2303+1422,HST_10494_b1_NIC_NIC2_F160W_01_drz.fits,0.1553,0.517,1.62,NICMOS,,312.17058975392786,358.7090520164967,5.0,0.21960637268329478,0.21960637268329478,0.6828512662673614,38
J2341+0000,HST_11202_0g_NIC_NIC2_F160W_02_drz.fits,0.186,0.807,1.44,NICMOS,,298.73926486155847,315.6121826495159,5.0,0.26200876923983585,0.26200876923983585,0.6773621362385873,38
