zbin,N,z_mean,slope_c,p_c,r2
"(0.0224, 0.0276]",56,0.025226607142857144,-0.4639156990216607,0.08690711820062313,0.05330247796215992
"(0.0276, 0.0333]",55,0.030421272727272738,-0.10944353143924494,0.7305441392171171,0.0022566310337674977
"(0.0333, 0.0439]",55,0.03747218181818182,-0.0034518386699891254,0.9911005096324628,2.36967426503476e-06
"(0.0439, 0.079]",55,0.056373818181818185,0.08991924659559548,0.7296002441482772,0.0022730957816002872
"(0.079, 0.149]",56,0.1177869642857143,0.31543489610635667,0.09867651429652385,0.049687184150564834
