model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
exponential,lambda_star_m,1.7190722018585747e-05,,,1.827704654289164e-14,2.3829265375347637e-13,True
exponential,lambda_star_m,1.8936988889503642e-05,,,2.6662005936373134e-13,3.476141582317227e-12,True
exponential,lambda_star_m,2.086064493471961e-05,,,3.0379171400696237e-12,3.960778539856093e-11,True
exponential,lambda_star_m,2.297970969046965e-05,,,2.7657445778039857e-11,3.6059251340338795e-10,True
exponential,lambda_star_m,2.5314033152415697e-05,,,2.0539643597050627e-10,2.677919634556796e-09,True
exponential,lambda_star_m,2.7885481717262916e-05,,,1.267871210797189e-09,1.6530263504526583e-08,True
exponential,lambda_star_m,3.0718143012686965e-05,,,6.6170339624305186e-09,8.627162923638225e-08,True
exponential,lambda_star_m,3.383855153428233e-05,,,2.9653740046819976e-08,3.8661981808109486e-07,True
exponential,lambda_star_m,3.727593720314938e-05,,,1.1572455298203277e-07,1.5087946933772197e-06,True
exponential,lambda_star_m,4.1062499172443026e-05,,,3.983279754371516e-07,5.193324321214493e-06,True
exponential,lambda_star_m,4.5233707447721056e-05,,,1.2233589332666384e-06,1.5949920903085243e-05,True
exponential,lambda_star_m,4.982863514647306e-05,,,3.387892367381906e-06,4.41706957937667e-05,True
exponential,lambda_star_m,5.489032450921569e-05,,,8.541060772221387e-06,0.00011135672454004415,True
exponential,lambda_star_m,6.046619009070448e-05,,,1.977253152424252e-05,0.0002577905022717408,False
exponential,lambda_star_m,6.660846290809168e-05,,,4.2363893314370515e-05,0.0005523323769800588,False
exponential,lambda_star_m,7.337467970651388e-05,,,8.460821756869907e-05,0.0011031058353155028,False
exponential,lambda_star_m,8.082822192522722e-05,,,0.0001585354617606033,0.0020669551728892213,False
exponential,lambda_star_m,8.903890941296735e-05,,,0.00028034453646054447,0.0036550787022235263,False
exponential,lambda_star_m,9.808365445406671e-05,,,0.0004703580720963052,0.006132439010382075,False
exponential,lambda_star_m,0.00010804718223181286,,,0.0007523867165454556,0.009809474791987688,False
exponential,lambda_star_m,0.00011902282447787169,,,0.001152499390469422,0.015026067672352306,False
exponential,lambda_star_m,0.00013111339374215656,,,0.0016973139612122545,0.02212925633914282,False
exponential,lambda_star_m,0.00014443214647272818,,,0.0024120172397266576,0.03144742163920023,False
exponential,lambda_star_m,0.00015910384392721534,,,0.0033183714866430736,0.04326429578413394,False
exponential,lambda_star_m,0.00017526592085367583,,,0.00443295950353069,0.05779608218423324,False
exponential,lambda_star_m,0.00019306977288832537,,,0.0057658695001630705,0.07517430899821474,False
exponential,lambda_star_m,0.00021268217472962127,,,0.007319941600197319,0.09543600521769646,False
exponential,lambda_star_m,0.00023428684237322353,,,0.00909061036090214,0.11852164746938905,False
exponential,lambda_star_m,0.00025808615404180767,,,0.0110662995242551,0.14428030670476008,False
exponential,lambda_star_m,0.0002843030459302665,,,0.013229267752733045,0.1724806747422822,False
exponential,lambda_star_m,0.00031318310052438447,,,0.015556771823894783,0.20282622977698542,False
exponential,lambda_star_m,0.00034499684705497225,,,0.018022405405019655,0.23497269106935664,False
exponential,lambda_star_m,0.00038004229563658897,,,0.020597482138419644,0.2685460513483656,False
exponential,lambda_star_m,0.00041864772882899555,,,0.02325235479342195,0.30315977566391067,False
exponential,lambda_star_m,0.00046117477677082606,,,0.025957591235168387,0.3384301334441771,False
exponential,lambda_star_m,0.0005080218046913023,,,0.028684957599663115,0.3739890169447603,False
exponential,lambda_star_m,0.0005596276445319553,,,0.03140818551363134,0.4094939441151413,False
exponential,lambda_star_m,0.0006164757056337174,,,0.03410352091963933,0.44463521407613205,False
exponential,lambda_star_m,0.0006790985029955721,,,0.0367500652958499,0.4791403558780951,False
exponential,lambda_star_m,0.0007480826455225093,,,0.03932992439857039,0.5127760677779711,False
exponential,lambda_star_m,0.0008240743309893666,,,0.041828174508703506,0.5453477771669296,False
exponential,lambda_star_m,0.0009077853991937558,,,0.044232643436097,0.5766967853467666,False
exponential,lambda_star_m,0.001,,,0.04653348977025616,0.6066947818807843,False
log_sigmoid,lambda_c_m,1e-08,sharpness,2.0,3.0645680437757505e-11,3.9955254808028034e-10,True
log_sigmoid,lambda_c_m,1e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.1568875283162832e-08,sharpness,2.0,4.101584349935905e-11,5.347567600959459e-10,True
log_sigmoid,lambda_c_m,1.1568875283162832e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.1568875283162832e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.1568875283162832e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.1568875283162832e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3383887531737563e-08,sharpness,2.0,5.4895157863832367e-11,7.157126188244115e-10,True
log_sigmoid,lambda_c_m,1.3383887531737563e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3383887531737563e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3383887531737563e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3383887531737563e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.548365256585499e-08,sharpness,2.0,7.347104868937748e-11,9.579015474495108e-10,True
log_sigmoid,lambda_c_m,1.548365256585499e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.548365256585499e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.548365256585499e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.548365256585499e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.7912844546220022e-08,sharpness,2.0,9.833281411353312e-11,1.2820445125623614e-09,True
log_sigmoid,lambda_c_m,1.7912844546220022e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.7912844546220022e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.7912844546220022e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.7912844546220022e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.0723146452190296e-08,sharpness,2.0,1.3160754430696642e-10,1.7158741109122087e-09,True
log_sigmoid,lambda_c_m,2.0723146452190296e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.0723146452190296e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.0723146452190296e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.0723146452190296e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.3974349678010784e-08,sharpness,2.0,1.761420592716334e-10,2.2965066397866154e-09,True
log_sigmoid,lambda_c_m,2.3974349678010784e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.3974349678010784e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.3974349678010784e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.3974349678010784e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.7735626141984124e-08,sharpness,2.0,2.3574651952795733e-10,3.0736182467791045e-09,True
log_sigmoid,lambda_c_m,2.7735626141984124e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.7735626141984124e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.7735626141984124e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.7735626141984124e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.2086999973704505e-08,sharpness,2.0,3.1552051249494895e-10,4.113696381941968e-09,True
log_sigmoid,lambda_c_m,3.2086999973704505e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.2086999973704505e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.2086999973704505e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.2086999973704505e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.712105009066365e-08,sharpness,2.0,4.222891064609158e-10,5.505724986452618e-09,True
log_sigmoid,lambda_c_m,3.712105009066365e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.712105009066365e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.712105009066365e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.712105009066365e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.294487988789272e-08,sharpness,2.0,5.651869666722931e-10,7.3688000869920866e-09,True
log_sigmoid,lambda_c_m,4.294487988789272e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.294487988789272e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.294487988789272e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.294487988789272e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.9682395947343874e-08,sharpness,2.0,7.564398968318287e-10,9.86231938503036e-09,True
log_sigmoid,lambda_c_m,4.9682395947343874e-08,sharpness,4.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.9682395947343874e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.9682395947343874e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.9682395947343874e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.747694424835358e-08,sharpness,2.0,1.0124106414322043e-09,1.3199617228581541e-08,True
log_sigmoid,lambda_c_m,5.747694424835358e-08,sharpness,4.0,1.3877787807814457e-17,1.8093595577333058e-16,True
log_sigmoid,lambda_c_m,5.747694424835358e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.747694424835358e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.747694424835358e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.649435996665046e-08,sharpness,2.0,1.3549990157679659e-09,1.7666219240781822e-08,True
log_sigmoid,lambda_c_m,6.649435996665046e-08,sharpness,4.0,1.3877787807814457e-17,1.8093595577333058e-16,True
log_sigmoid,lambda_c_m,6.649435996665046e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.649435996665046e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,6.649435996665046e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.692649574879146e-08,sharpness,2.0,1.8135154211673665e-09,2.3644268854854842e-08,True
log_sigmoid,lambda_c_m,7.692649574879146e-08,sharpness,4.0,5.551115123125783e-17,7.237438230933223e-16,True
log_sigmoid,lambda_c_m,7.692649574879146e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.692649574879146e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,7.692649574879146e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,8.899530352885224e-08,sharpness,2.0,2.4271886028826017e-09,3.164522298412779e-08,True
log_sigmoid,lambda_c_m,8.899530352885224e-08,sharpness,4.0,8.326672684688674e-17,1.0856157346399835e-15,True
log_sigmoid,lambda_c_m,8.899530352885224e-08,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,8.899530352885224e-08,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,8.899530352885224e-08,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.0295755673125128e-07,sharpness,2.0,3.2485219098044027e-09,4.235361029731946e-08,True
log_sigmoid,lambda_c_m,1.0295755673125128e-07,sharpness,4.0,1.3877787807814457e-16,1.809359557733306e-15,True
log_sigmoid,lambda_c_m,1.0295755673125128e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.0295755673125128e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.0295755673125128e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.191103133283008e-07,sharpness,2.0,4.3477851180417915e-09,5.668559475934539e-08,True
log_sigmoid,lambda_c_m,1.191103133283008e-07,sharpness,4.0,2.498001805406602e-16,3.2568472039199506e-15,True
log_sigmoid,lambda_c_m,1.191103133283008e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.191103133283008e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.191103133283008e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3779723598335568e-07,sharpness,2.0,5.819026621667334e-09,7.586736142982181e-08,True
log_sigmoid,lambda_c_m,1.3779723598335568e-07,sharpness,4.0,4.440892098500626e-16,5.7899505847465785e-15,True
log_sigmoid,lambda_c_m,1.3779723598335568e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3779723598335568e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.3779723598335568e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.5941590374559995e-07,sharpness,2.0,7.788119565921292e-09,1.0154002041618372e-07,True
log_sigmoid,lambda_c_m,1.5941590374559995e-07,sharpness,4.0,8.049116928532385e-16,1.0494285434853174e-14,True
log_sigmoid,lambda_c_m,1.5941590374559995e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.5941590374559995e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,1.5941590374559995e-07,sharpness,32.0,0.0,0.0,True
