lens,sector,x0,y0,r0_common,n_pix,r390,r814,delta_r,C390,C814,delta_C,phi_min_deg,phi_max_deg
J1630,2,4325,2632,8,12,4.325757134639174,4.116933699176914,-0.2088234354622598,0.9766584537207689,0.9761597060056073,-0.0004987477151615627,-90.0,-45.0
J1630,3,4325,2632,8,32,7.000623834095107,6.5829399037471825,-0.4176839303479243,0.9860146749760729,0.9856236944106687,-0.00039098056540420867,-45.0,0.0
J1630,7,4325,2632,8,35,7.087962360146187,6.54456879981518,-0.5433935603310065,0.9840763934711263,0.9840209959901968,-5.539748092953101e-05,135.0,180.0
