lens,alpha2_obs,p_null_ge_obs
J0737,2.5263174045181844,0.0
J0912,2.575540752423765,0.0
J1630,3.423475135738712,0.0
J0252,0.9694417205149068,0.0
J0903,3.4091937148052804,0.0
J0956,0.46710110733311705,1e-05
J0959,5.557055067694801,0.0
J1430,0.7185511889659846,0.0
J2341,4.06373735824035,0.0
