zbin,N,z_mean,slope_c,p_c,r2
"(0.0092, 0.0247]",265,0.01819735849056604,0.05515753390595714,0.6541450140475565,0.0007643316369646547
"(0.0247, 0.0494]",265,0.033722226415094335,0.08918458264021974,0.3692981959671898,0.0030658534721549335
"(0.0494, 0.185]",265,0.11770162264150943,0.10650129342573059,0.33909491849186246,0.0034752729027091034
"(0.185, 0.287]",265,0.23349339622641507,0.16762125479100326,0.13593345152659755,0.008434296835923782
"(0.287, 0.43]",265,0.34651822641509433,0.023872230992026393,0.821426025665512,0.0001940591259009805
"(0.43, 2.261]",265,0.6676321886792452,-0.3689174216343834,0.000759133529350996,0.042274633155180985
