zbin,N,z_mean,slope_c,p_c,r2
"(0.0092, 0.0247]",265,0.01819735849056604,-8.089975087027705e-05,0.999485477845168,1.5841562506224705e-09
"(0.0247, 0.0494]",265,0.033722226415094335,0.17205964553441622,0.11983167367769457,0.00917483927887719
"(0.0494, 0.185]",265,0.11770162264150943,0.1078888544743687,0.32940220270524784,0.0036172297115810714
"(0.185, 0.287]",265,0.23349339622641507,0.14924040431914848,0.20384537808497427,0.0061319895770590716
"(0.287, 0.43]",265,0.34651822641509433,0.056234881308387434,0.6264418152351898,0.0009021316332897822
"(0.43, 2.261]",265,0.6676321886792452,-0.329606109721252,0.0029602847362772892,0.033084972456900896
