lens,C390,C814,DeltaC,DeltaR,DeltaPhi_deg
J0252,0.0465572735985116,0.09509432653358,0.0485370529350684,-5.478313066535844,-92.60269248269682
J0737,0.0364214143401241,0.2310503936111513,0.1946289792710271,-2.180318609651888,-24.73588742822353
J0912,0.0075424714924852,0.0499152495754921,0.0423727780830069,-2.6481411065674543,-4.894129382470292
J1630,0.0724071458760411,0.8942734856234916,0.8218663397474505,-18.58476709480435,3.818681576497297
J0903,0.0190402890198015,0.2339423900453085,0.214902101025507,0.4323976038784707,-148.0937528868271
J0956,0.0408091187117558,0.0575467187681806,0.0167376000564248,-1.0959041076799991,-26.71144667947048
J0959,0.005697957305826,0.3400426199001452,0.3343446625943192,-1.9857408568149992,-34.568217047388195
J1430,0.0190966997049227,0.0324033135964445,0.013306613891521803,-0.9507799960359478,26.943949507281257
J2341,0.0098953419533649,0.1967987290823663,0.18690338712900142,2.0409103273220524,130.78619150839393
