lens_id,status,blue_file,red_file,r390,r814,delta_r,phi390,phi814,delta_phi_rad,delta_phi_deg,C390_recomputed,C814_recomputed,delta_C_recomputed,n390,n814
J1627,ok,data/j1627_multiband/F390W.fits,data/j1627_multiband/F814W.fits,3.6132114944466838,5.69266349306678,2.079451998620096,0.14018932736866754,1.100637399137295,0.9604480717686277,55.029620953820356,0.06350987826637758,0.10754327873395746,0.04403340046757988,120,120
J0737,ok,data/J0737_multiband_alt/F390W.fits,data/J0737_multiband_alt/F814W.fits,5.160328178014951,5.053192986148083,-0.10713519186686771,1.294736165022094,-2.182041425575545,2.806407716581947,160.79531775309206,0.02539960374113033,0.04940054728748164,0.024000943546351308,120,120
J0912,ok,data/J0912_multiband/F390W.fits,data/J0912_multiband/F814W.fits,3.59935538376346,5.677254715922026,2.077899332158566,3.067564564250382,-1.1933745941896554,2.022246148739549,115.86616945936109,0.026327739986960513,0.03734986185473522,0.011022121867774706,120,120
J1630,ok,data/J1630_multiband/F390W.fits,data/J1630_multiband/F814W.fits,3.6368342624033874,5.298865168965344,1.6620309065619567,-1.7945460730840173,-2.5797200886645624,-0.7851740155805451,-44.98715727610438,0.1513062679665222,0.03522407248347377,-0.11608219548304842,120,120
J0252,ok,data/J0252_multiband/F390W.fits,data/J0252_multiband/F814W.fits,4.9388092992811865,6.2433607896429395,1.304551490361753,1.4231215472843879,-1.9374042098925277,2.922659550002671,167.45605716875744,0.06980927257751957,0.08930616479577069,0.019496892218251127,120,120
J0903,ok,data/J0903_multiband/F390W.fits,data/J0903_multiband/F814W.fits,3.6365165627570315,4.244200576474395,0.6076840137173631,-1.6877566716807253,-0.171494618088947,1.5162620535917783,86.87541630664795,0.12163742103800804,0.09486826255311796,-0.026769158484890074,120,120
J0956,ok,data/J0956_multiband/F390W.fits,data/J0956_multiband/F814W.fits,10.58137787368441,5.433458774212775,-5.147919099471635,-3.053098187215194,-2.4497620140743788,0.6033361731408151,34.568616348543,0.7482656837335036,0.12787494473590644,-0.6203907389975971,162,120
J0959,ok,data/J0959_multiband/F390W.fits,data/J0959_multiband/F814W.fits,3.682787387026877,4.54460536185616,0.8618179748292829,-0.1808263026061566,-1.622878643123225,-1.4420523405170684,-82.62351294859026,0.14166229958398072,0.08149464447001567,-0.060167655113965046,120,120
J1430,ok,data/J1430_multiband/F390W.fits,data/J1430_multiband/F814W.fits,250.19083182401837,3.982613676486207,-246.20821814753216,-0.3209607827254018,2.2505137936648105,2.5714745763902123,147.33464035235036,0.9424616374587375,0.1077199926941424,-0.834741644764595,3114,120
J2341,ok,data/J2341_multiband/F390W.fits,data/J2341_multiband/F814W.fits,10.032112328033875,4.712108987033497,-5.320003341000378,1.929637207256793,1.97040939005445,0.04077218279765682,2.336073995841633,0.7003977827667418,0.08502934528383875,-0.615368437482903,162,120
