zlo,zhi,zmid,N,slope,A_abs_slope,r,p
0.01,0.05,0.030000000000000002,534,-0.2621452632172961,0.2621452632172961,-0.02818383220902454,0.515765012379476
0.05,0.1,0.07500000000000001,96,0.8436094020064793,0.8436094020064793,0.16011441090409886,0.11915837956345442
0.1,0.2,0.15000000000000002,207,-0.3359149265510855,0.3359149265510855,-0.05515903115192316,0.4298806941853256
0.2,0.3,0.25,259,-0.32834236598880284,0.32834236598880284,-0.08244969682537225,0.18592277701433915
0.3,0.5,0.4,284,-0.05272440829081002,0.05272440829081002,-0.011238038712553555,0.8504396550052631
0.5,0.75,0.625,162,-0.968129640821811,0.968129640821811,-0.23859158392805432,0.0022316091876520283
