zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,c,USED_IN_SH0ES_HF,mu_lcdm,residual,cz,zbin
0.02598,35.3111,0.17873,-0.027296,1,35.27470326327348,0.036396736726523216,-0.00070915008,"(0.0224, 0.0276]"
0.02669,35.308,0.179587,-0.055584,1,35.33439981486697,-0.02639981486696996,-0.00148353696,"(0.0224, 0.0276]"
0.02691,35.2688,0.183373,0.015337,1,35.352581349734024,-0.08378134973402496,0.00041271867,"(0.0224, 0.0276]"
0.02691,35.2892,0.205883,-0.046336,1,35.352581349734024,-0.06338134973402276,-0.0012469017600000001,"(0.0224, 0.0276]"
0.02713,35.2513,0.18676,-0.02295,1,35.37061763020939,-0.11931763020938746,-0.0006226335000000001,"(0.0224, 0.0276]"
0.0273,35.2892,0.298907,-0.04987,1,35.38445675495253,-0.09525675495252983,-0.001361451,"(0.0224, 0.0276]"
0.02731,35.2673,0.172357,-0.07121,1,35.38526818645775,-0.11796818645775176,-0.0019447451,"(0.0224, 0.0276]"
0.02731,35.3437,0.230789,0.021976,1,35.38526818645775,-0.041568186457752176,0.00060016456,"(0.0224, 0.0276]"
0.02731,35.1118,0.346591,0.066694,1,35.38526818645775,-0.2734681864577482,0.0018214131400000001,"(0.0224, 0.0276]"
0.02731,35.227,0.261645,0.054766,1,35.38526818645775,-0.15826818645775376,0.0014956594600000002,"(0.0224, 0.0276]"
0.02736,35.313,0.220137,-0.104397,1,35.38932097750547,-0.07632097750546762,-0.00285630192,"(0.0224, 0.0276]"
0.02748,35.113,0.172724,-0.130216,1,35.399018113709005,-0.2860181137090052,-0.00357833568,"(0.0224, 0.0276]"
0.02748,35.1538,0.186856,-0.073397,1,35.399018113709005,-0.24521811370900792,-0.00201694956,"(0.0224, 0.0276]"
0.02748,35.1117,0.170295,-0.087572,1,35.399018113709005,-0.28731811370900573,-0.00240647856,"(0.0224, 0.0276]"
0.02805,35.1306,0.184771,-0.106486,1,35.444519642821014,-0.3139196428210127,-0.0029869323,"(0.0276, 0.0333]"
0.02816,35.3613,0.190628,-0.098566,1,35.45319618546314,-0.09189618546314193,-0.00277561856,"(0.0276, 0.0333]"
