lens,F390W_C,F390W_mean,F390W_min,F390W_max,F390W_n_epochs,F390W_span_days,F390W_scatter,F390W_relative_range,F390W_multi_epoch,F814W_C,F814W_mean,F814W_min,F814W_max,F814W_n_epochs,F814W_span_days,F814W_scatter,F814W_relative_range,F814W_multi_epoch,F160W_C,F160W_mean,F160W_min,F160W_max,F160W_n_epochs,F160W_span_days,F160W_scatter,F160W_relative_range,F160W_multi_epoch,C814_gt_C390,C160_gt_C814,full_hierarchy,R814_390,R160_814,has_F390W,has_F814W,has_F160W,diagnostic_multi_epoch
J0252,0.2820832138686541,0.2820832138686541,0.2820832138686541,0.2820832138686541,1,0.0,0.0,0.0,False,0.6950285342870544,0.6950285342870544,0.6950285342870544,0.6950285342870544,1,0.0,0.0,0.0,False,0.04524526991697423,0.04524526991697423,0.04524526991697423,0.04524526991697423,1,0.0,0.0,0.0,False,True,False,False,2.4639131295869285,0.06509843507847614,True,True,True,False
J0737,0.2284133261065901,0.2284133261065901,0.2284133261065901,0.2284133261065901,1,0.0,0.0,0.0,False,0.10054577317932108,0.10054577317932108,0.10054577317932108,0.10054577317932108,1,0.0,0.0,0.0,False,,,,,0,,,,False,False,,,0.44019223787495193,,True,True,False,False
J0903,0.02182567498424274,0.02182567498424274,0.02182567498424274,0.02182567498424274,1,0.0,0.0,0.0,False,0.013191891090070547,0.013191891090070547,0.013191891090070547,0.013191891090070547,1,0.0,0.0,0.0,False,,,,,0,,,,False,False,,,0.6044207613095386,,True,True,False,False
J0912,0.024939729227985787,0.024939729227985787,0.024939729227985787,0.024939729227985787,1,0.0,0.0,0.0,False,0.09931021665578109,0.09931021665578109,0.09931021665578109,0.09931021665578109,1,0.0,0.0,0.0,False,,,,,0,,,,False,True,,,3.9820086155683456,,True,True,False,False
J0956,0.012564957855432697,0.012564957855432697,0.012564957855432697,0.012564957855432697,1,0.0,0.0,0.0,False,0.08775210087517596,0.08775210087517596,0.08775210087517596,0.08775210087517596,1,0.0,0.0,0.0,False,0.006098681876057423,0.006098681876057423,0.006098681876057423,0.006098681876057423,1,0.0,0.0,0.0,False,True,False,False,6.983875464193036,0.06949898424349482,True,True,True,False
J0959,0.022872243997198855,0.022872243997198855,0.022872243997198855,0.022872243997198855,1,0.0,0.0,0.0,False,0.02231998518258799,0.02231998518258799,0.02231998518258799,0.02231998518258799,1,0.0,0.0,0.0,False,0.01562595285628695,0.01562595285628695,0.01562595285628695,0.01562595285628695,1,0.0,0.0,0.0,False,False,False,False,0.9758546291007345,0.7000879583234172,True,True,True,False
J1430,0.007295036756110949,0.007295036756110949,0.007295036756110949,0.007295036756110949,1,0.0,0.0,0.0,False,0.018809624125429053,0.018809624125429053,0.018809624125429053,0.018809624125429053,1,0.0,0.0,0.0,False,0.030785527786519887,0.030785527786519887,0.030785527786519887,0.030785527786519887,1,0.0,0.0,0.0,False,True,True,True,2.5784138934834697,1.6366902167332735,True,True,True,False
J1630,0.018642376213400418,0.018642376213400418,0.018642376213400418,0.018642376213400418,1,0.0,0.0,0.0,False,0.06837718686599761,0.06837718686599761,0.06837718686599761,0.06837718686599761,1,0.0,0.0,0.0,False,,,,,0,,,,False,True,,,3.66783644334176,,True,True,False,False
J2341,0.01462939057574775,0.01462939057574775,0.01462939057574775,0.01462939057574775,1,0.0,0.0,0.0,False,0.06819160211971789,0.06819160211971789,0.06819160211971789,0.06819160211971789,1,0.0,0.0,0.0,False,0.03136469656544451,0.03136469656544451,0.03136469656544451,0.03136469656544451,1,0.0,0.0,0.0,False,True,False,False,4.661274286624371,0.45994954789858605,True,True,True,False
