z,slope_norm
0.014229750000000001,0.057454044212776716
0.0142895,0.05338691550269505
0.014349166666666665,0.03729342988259971
0.014408916666666665,0.04069442461647977
0.014468166666666667,0.05478071529832765
0.014527416666666666,0.07100274122548464
0.014587,0.04922528696197099
0.01464575,0.031706658863703906
0.014704333333333335,0.027445960132559385
0.014761916666666668,0.04556489821430535
0.014821499999999998,0.05169588712041906
0.014880250000000001,0.06108777358017783
0.014938499999999999,0.08122674174731268
0.01499725,0.12264535963688152
0.015054583333333333,0.1191862690978931
0.015110916666666667,0.12814733238043166
0.01516825,0.13373846281850876
0.015225416666666667,0.12050936826436517
0.015284083333333334,0.0693476454435121
0.01534275,0.05887998082273167
0.015399749999999999,0.04622609024344759
0.01545475,0.04209973994168113
0.015508250000000001,0.053140610142223224
0.015562,0.04947255987320218
0.015614666666666666,0.049130294756238334
0.015666333333333334,0.049279024967624444
0.01571775,0.029995038417806357
0.015769166666666667,0.0062987069097411065
0.015823,0.0002311451433800575
0.015880333333333333,0.03006456878484709
0.015936000000000002,0.031395245737149656
0.01599366666666667,0.030688460863541888
0.016051333333333334,0.017202930180868752
0.016107416666666666,0.012447095017276486
0.016165083333333333,0.0029719274109023764
0.016223166666666667,6.535246777005223e-05
0.016281666666666667,0.005620734447361823
0.016340583333333332,0.006560447442494057
0.0163995,0.01227715371258662
0.016457666666666666,0.01054001133168486
0.016515833333333334,0.0076744155291964735
0.016574,0.0028817729588648533
0.016628,0.014872884386296241
0.016682083333333333,0.04404551395713203
0.016737000000000002,0.06409492084246604
0.016791833333333336,0.04211244147284621
0.01684591666666667,0.05693035562853006
0.016899833333333336,0.09904389109774199
0.016953666666666665,0.10194260980629326
0.01700825,0.11412642078216946
0.017061416666666666,0.05635035783069198
0.01711375,0.06189301045414798
0.01716491666666666,0.04776608361219844
0.017216083333333333,0.01965302070006138
0.017269333333333334,0.014567126047777542
0.017322666666666663,0.005811627234725525
0.017376,0.025357457960163653
0.017429666666666666,0.026238043728669478
0.0174835,0.02623196906274426
0.017537916666666663,0.003980624633401287
0.017592583333333335,0.004646715268228138
0.017647083333333334,0.02776279792509631
0.017701666666666668,0.07101277874790071
0.017756249999999998,0.1680570051100492
0.017811583333333332,0.15162414424817808
0.0178665,0.2186521457315846
0.017920416666666668,0.19944562345055195
0.017973916666666666,0.2423085987880788
0.018027583333333333,0.24860972274814885
0.018081916666666666,0.21700667342484736
0.01813641666666667,0.2107006168515834
0.018191000000000002,0.21444786767550875
0.018246333333333333,0.23424110115191846
0.018301166666666664,0.25067308672645705
0.018356833333333333,0.2306497239007234
0.018411499999999994,0.22188206309356617
0.0184665,0.23818600245774726
0.01852141666666667,0.2108191818787848
0.01857625,0.1935346771681294
0.018631666666666664,0.21608373715821183
0.018687416666666668,0.16080722380634943
0.01874391666666667,0.14760430755374512
0.018800416666666667,0.1514522208982491
0.018856583333333333,0.12657178309348097
0.018913000000000003,0.09168436790152236
0.018969,0.08775036914199354
0.019025166666666666,0.11137352993998542
0.019081333333333332,0.11968395162182327
0.019136583333333335,0.12051986502074706
0.01919175,0.09701731129540667
0.019246916666666666,0.07768628190280626
0.019301916666666665,0.038731981177337886
0.019358083333333335,0.03596555413894198
0.019414666666666667,0.02748303126884017
0.0194715,0.010863303451073539
0.019528416666666666,0.015719277584660147
0.019587166666666666,0.0075317207736011966
0.019645916666666666,0.00406240573629196
0.019703833333333334,0.0027427027609929107
0.019757666666666666,0.03690202489996396
0.01981191666666667,0.045714960152192015
0.019866166666666667,0.042509600650165395
0.019920833333333336,0.0944948111566043
0.019975333333333335,0.0709575220623696
0.020029916666666668,0.04582619767970579
0.020084416666666667,0.03833285295213237
0.020138833333333335,0.03429845099805409
0.020192916666666665,0.04162753772349886
0.020247916666666668,0.06943994659004642
0.020302916666666667,0.05233319295080915
0.02035725,0.03992904737570085
0.020411666666666665,0.004422519289614447
0.02046591666666667,0.0012439071213755967
0.02051975,0.013028162027712358
0.020574166666666668,0.02505522883847001
0.02062825,0.01973539176103865
0.0206815,0.055753835021806586
0.02073475,0.08035481844746666
0.020787833333333332,0.07654882822748874
0.02084075,0.06752275409248631
0.020894,0.04575812597659994
