lens,band,lambda,Ccontrast,Cdir,Astd,Npix,r_mean,phi_mean_rad,phi_mean_deg
J0737,F390W,390,0.15853959168762707,0.03642141434012416,0.899964993606709,861,25.416583940643378,-1.031265376119196,-59.08715360960137
J0737,F435W,435,0.36454489746710905,0.04230446108996137,0.7485673316428629,861,29.049035594208124,0.7246245488348928,41.51792837981077
J0737,F555W,555,0.20401853901314104,0.1526053379922199,0.8410352478162972,861,24.46180737405495,-1.5710826448880046,-90.01640481833333
J0737,F814W,814,0.23318212579235953,0.23105039361115134,0.7989457112130909,861,23.23626533099149,-1.4629880551443692,-83.82304103782491
