lens,C390,C814,DeltaC,r390,r814,DeltaR,phi390_deg,phi814_deg,DeltaPhi_deg,N390,N814
J0252,0.0465572735985116,0.09509432653358,0.04853705293506841,26.023251879339394,20.54493881280355,-5.4783130665358435,16.070854653699964,-76.53183782899687,-92.60269248269682,864,861
J0737,0.0364214143401241,0.2310503936111513,0.19462897927102718,25.416583940643378,23.23626533099149,-2.180318609651888,-59.08715360960137,-83.82304103782491,-24.73588742822353,861,861
J0912,0.0075424714924852,0.0499152495754921,0.0423727780830069,31.624433721534785,28.97629261496733,-2.6481411065674543,20.824260667854887,15.930131285384595,-4.894129382470292,864,861
J1630,0.0724071458760411,0.8942734856234916,0.8218663397474505,37.612072557248425,19.027305462444076,-18.58476709480435,-77.27301461042977,-73.45433303393247,3.818681576497297,864,861
