target,obs_id,instrument,filter,mjd,proposal
J0903,ua1l2502m,WFPC2/PC,F606W,54386.89464181713,11202
J0903,ua1l2504m,WFPC2/PC,F606W,54386.95853070602,11202
J0903,ua1l2501m,WFPC2/PC,F606W,54386.87797515046,11202
J0903,j9i3n0010,ACS/WFC,CLEAR1L;F435W,54017.02277962963,10733
J0912,hst_10174_43_acs_wfc_f435w_j93i43,ACS/WFC,F435W,53290.95498237,10174
J0912,hst_10174_43_acs_wfc_f814w_j93i43,ACS/WFC,F814W,53290.96167635,10174
J0912,hst_10494_02_acs_wfc_f555w_j9c702,ACS/WFC,F555W,53679.34702019,10494
J0912,hst_10494_02_acs_wfc_f814w_j9c702,ACS/WFC,F814W,53679.46141834,10494
J0912,hst_10494_52_acs_wfc_f555w_j9c752,ACS/WFC,F555W,54064.52007214,10494
J0912,hst_10494_52_acs_wfc_f814w_j9c752,ACS/WFC,F814W,54064.58818547,10494
J0912,hst_12898_11_wfc3_uvis_f390w_ibzi11,WFC3/UVIS,F390W,56428.11067443,12898
J0912,hst_12898_12_wfc3_uvis_f390w_ibzi12,WFC3/UVIS,F390W,56428.3100148,12898
J0912,hst_12898_13_wfc3_uvis_f390w_ibzi13,WFC3/UVIS,F390W,56419.69124184,12898
J0912,hst_12898_14_wfc3_uvis_f390w_ibzi14,WFC3/UVIS,F390W,56429.3067511,12898
J0912,hst_12898_15_wfc3_uvis_f390w_ibzi15,WFC3/UVIS,F390W,56429.37319776,12898
J0912,hst_skycell-p1356x02y05_acs_wfc_f555w_all,ACS/WFC,F555W,54064.52007214,--
J0912,hst_skycell-p1356x02y05_acs_wfc_f814w_all,ACS/WFC,F814W,54064.58818547,--
J0912,hst_skycell-p1356x02y05_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56419.69124184,--
J0912,hst_skycell-p1356x03y05_acs_wfc_f555w_all,ACS/WFC,F555W,54064.52007214,--
J0912,hst_skycell-p1356x03y05_acs_wfc_f814w_all,ACS/WFC,F814W,54064.58818547,--
J0912,hst_skycell-p1356x03y05_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56419.69124184,--
J0912,hst_skycell-p1357x19y05_acs_wfc_f435w_all,ACS/WFC,F435W,53290.95498237,--
J0912,hst_skycell-p1357x19y05_acs_wfc_f555w_all,ACS/WFC,F555W,53679.34702019,--
J0912,hst_skycell-p1357x19y05_acs_wfc_f814w_all,ACS/WFC,F814W,53290.96167635,--
J0912,hst_skycell-p1357x19y05_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56419.69124184,--
J0912,j9c702010,ACS/WFC,F555W,53679.34702017361,10494
J0912,j9c702020,ACS/WFC,F814W,53679.419416122684,10494
J0912,j9c752010,ACS/WFC,F555W,54064.520072141204,10494
J0912,j9c752020,ACS/WFC,F814W,54064.58818545139,10494
J0912,n9c7a2010,NICMOS/NIC2,F160W,53679.52778935,10494
J0912,n9c7c2010,NICMOS/NIC2,F160W,54064.69696547453,10494
J0912,ibzi11010,WFC3/UVIS,F390W,56428.110674421296,12898
J0912,ibzi12010,WFC3/UVIS,F390W,56428.310014814815,12898
J0912,ibzi14010,WFC3/UVIS,F390W,56429.30675112268,12898
J0912,ibzi15010,WFC3/UVIS,F390W,56429.3731977662,12898
J0912,ibzi13010,WFC3/UVIS,F390W,56419.69935517361,12898
J0912,ic4465010,WFC3/UVIS,F390W,56429.413560532405,13084
J0912,j9vctd010,ACS/WFC,F555W;F435W,54064.4805002662,11045
J0912,j9vcte010,ACS/WFC,F555W;F435W,54064.498474733795,11045
J0912,j93i43ikq,ACS/WFC,F435W,53290.954982372685,10174
J0912,j93i43ilq,ACS/WFC,F814W,53290.96167635416,10174
J0956,hst_10174_45_acs_wfc_f435w_j93i45,ACS/WFC,F435W,53308.67743017,10174
J0956,hst_10174_45_acs_wfc_f814w_j93i45,ACS/WFC,F814W,53308.6841198,10174
J0956,hst_10494_14_acs_wfc_f555w_j9c714,ACS/WFC,F555W,54040.80203906,10494
J0956,hst_10494_14_acs_wfc_f814w_j9c714,ACS/WFC,F814W,54040.85223609,10494
J0956,hst_12898_16_wfc3_uvis_f390w_ibzi16,WFC3/UVIS,F390W,56551.0411638,12898
J0956,hst_12898_17_wfc3_uvis_f390w_ibzi17,WFC3/UVIS,F390W,56551.10757602,12898
J0956,hst_skycell-p2314x13y15_acs_wfc_f435w_all,ACS/WFC,F435W,53308.67743017,--
J0956,hst_skycell-p2314x13y15_acs_wfc_f555w_all,ACS/WFC,F555W,54040.80203906,--
J0956,hst_skycell-p2314x13y15_acs_wfc_f814w_all,ACS/WFC,F814W,53308.6841198,--
J0956,hst_skycell-p2314x13y15_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56551.0411638,--
J0956,j9c714010,ACS/WFC,F555W,54040.80203903935,10494
J0956,j9c714020,ACS/WFC,F814W,54040.85223607639,10494
J0956,n9c7b4010,NICMOS/NIC2,F160W,54040.91438445602,10494
J0956,ibzi16010,WFC3/UVIS,F390W,56551.04116380787,12898
J0956,ibzi17010,WFC3/UVIS,F390W,56551.10757600694,12898
J0956,j93i45m4q,ACS/WFC,F435W,53308.67743017361,10174
J0956,j93i45m5q,ACS/WFC,F814W,53308.684119791666,10174
J0959,hst_10174_18_acs_wfc_f435w_j93i18,ACS/WFC,F435W,53297.88615684,10174
J0959,hst_10174_18_acs_wfc_f814w_j93i18,ACS/WFC,F814W,53297.89284684,10174
J0959,hst_10494_04_acs_wfc_f555w_j9c704,ACS/WFC,F555W,53681.61065426,10494
J0959,hst_10494_04_acs_wfc_f814w_j9c704,ACS/WFC,F814W,53681.67930019,10494
J0959,hst_12898_18_wfc3_uvis_f390w_ibzi18,WFC3/UVIS,F390W,56450.17614983,12898
J0959,hst_skycell-p1359x03y20_acs_wfc_f435w_all,ACS/WFC,F435W,53297.88615684,--
J0959,hst_skycell-p1359x03y20_acs_wfc_f555w_all,ACS/WFC,F555W,53681.61065426,--
J0959,hst_skycell-p1359x03y20_acs_wfc_f814w_all,ACS/WFC,F814W,53297.89284684,--
J0959,hst_skycell-p1359x03y20_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56450.17614983,--
J0959,hst_skycell-p1449x10y03_acs_wfc_f435w_all,ACS/WFC,F435W,53297.88615684,--
J0959,hst_skycell-p1449x10y03_acs_wfc_f555w_all,ACS/WFC,F555W,53681.61065426,--
J0959,hst_skycell-p1449x10y03_acs_wfc_f814w_all,ACS/WFC,F814W,53297.89284684,--
