lens,F390W_mean,F390W_min,F390W_max,F390W_n_epochs,F390W_span_days,F814W_mean,F814W_min,F814W_max,F814W_n_epochs,F814W_span_days,F160W_mean,F160W_min,F160W_max,F160W_n_epochs,F160W_span_days,C814_gt_C390,C160_gt_C814,full_hierarchy,R814_390,R160_814,F814W_relative_range
J0252,0.1409832043013928,0.1409832043013928,0.1409832043013928,1,0.0,,,,0,,0.8093705675416286,0.8093705675416286,0.8093705675416286,1,0.0,,,,,,
J0737,0.003772278385983432,0.003772278385983432,0.003772278385983432,1,0.0,0.124105439910217,0.11425286886185643,0.13395801095857757,2,775.6263212659978,,,,0,,True,,,32.89933223681283,,0.15877742434962283
J0912,0.4339447941176529,0.4339447941176529,0.4339447941176529,1,0.0,0.12842046462050669,0.10572738899020781,0.16020258663537557,3,773.6566480079928,,,,0,,False,,,0.29593733203235245,,0.42419405509975816
J0956,0.040809118711755805,0.040809118711755805,0.040809118711755805,1,0.0,0.14021155000473187,0.13743063820447118,0.14299246180499256,2,732.1787551080051,0.07991767711872046,0.07991767711872046,0.07991767711872046,1,0.0,True,False,False,3.4357897065868612,0.5699792714367924,0.03966737119968844
J0959,0.005697957305826051,0.005697957305826051,0.005697957305826051,1,0.0,0.28216368236274536,0.28216368236274536,0.28216368236274536,1,0.0,0.8683981599537658,0.8683981599537658,0.8683981599537658,1,0.0,True,True,True,49.52014682072792,3.0776397326618605,
J1430,0.019096699704922768,0.019096699704922768,0.019096699704922768,1,0.0,,,,0,,0.1925158163802838,0.1925158163802838,0.1925158163802838,1,0.0,,,,,,
J1627,0.1051990346940168,0.1051990346940168,0.1051990346940168,1,0.0,,,,0,,,,,0,,,,,,,
J2341,0.009895341953364943,0.009895341953364943,0.009895341953364943,1,0.0,,,,0,,0.8444456174344034,0.8444456174344034,0.8444456174344034,1,0.0,,,,,,
