lens,n_epochs,span_days,C814_min,C814_max,C814_mean,relative_range
J0737,2,775.6263212659978,0.11425286886185643,0.13395801095857757,0.124105439910217,0.15877742434962283
J0912,3,773.6566480079928,0.10572738899020781,0.16020258663537557,0.12842046462050669,0.42419405509975816
J0956,2,732.1787551080051,0.13743063820447118,0.14299246180499256,0.14021155000473187,0.03966737119968844
