Bcmb,H0_eff,B_bao,B_tdl,chi2_shoes,chi2_tdl,chi2_bao,chi2_total
0.0,67.4,0.0,0.0,29.40976331360947,10.743827160493794,0.0,40.15359047410327
7.003501750875438e-05,67.40472069079377,4.202101050525262e-06,2.8014007003501753e-06,29.36055186091712,10.72732856557773,7.063061295530204e-07,40.08788113280098
0.00014007003501750876,67.40944204290747,8.404202101050524e-06,5.6028014007003505e-06,29.311374730194203,10.71084033968764,2.8252245182120817e-06,40.022217895106365
0.00021010505252626313,67.4141640564801,1.2606303151575787e-05,8.404202101050526e-06,29.262231937315523,10.694362487667435,6.356755165977184e-06,39.956600781738125
0.0002801400700350175,67.41888673165069,1.680840420210105e-05,1.1205602801400701e-05,29.21312349816268,10.67789501436315,1.1300898072848327e-05,39.891029813423906
0.0003501750875437719,67.42361006855828,2.1010505252626315e-05,1.4007003501750878e-05,29.164049428624306,10.661437924623067,1.7657653238825514e-05,39.82550501090061
0.00042021010505252627,67.42833406734196,2.5212606303151573e-05,1.6808404202101052e-05,29.11500974459583,10.644991223297394,2.5427020663908738e-05,39.76002639491389
0.0004902451225612806,67.43305872814086,2.9414707353676836e-05,1.9609804902451224e-05,29.06600446197986,10.628554915238642,3.460900034809801e-05,39.69459398621884
0.000560280140070035,67.43778405109417,3.36168084042021e-05,2.2411205602801402e-05,29.01703359668539,10.61212900530125,4.520359229139331e-05,39.629207805578936
0.0006303151575787894,67.44251003634108,3.7818909454727364e-05,2.5212606303151577e-05,28.968097164628745,10.595713498341958,5.721079649379466e-05,39.563867873767194
0.0007003501750875438,67.44723668402082,4.202101050525263e-05,2.8014007003501755e-05,28.919195181733052,10.579308399219386,7.063061295530205e-05,39.49857421156539
0.0007703851925962981,67.45196399427273,4.622311155577789e-05,3.081540770385192e-05,28.870327663927924,10.56291371279441,8.54630416759155e-05,39.433326839764014
0.0008404202101050525,67.4566919672361,5.042521260630315e-05,3.3616808404202105e-05,28.821494627150518,10.54652944393004,0.00010170808265563495,39.36812577916321
0.0009104552276138069,67.4614206030503,5.462731365682841e-05,3.641820910455228e-05,28.772696087344443,10.530155597491289,0.00011936573589446046,39.30297105057162
0.0009804902451225612,67.46614990185475,5.882941470735367e-05,3.921960980490245e-05,28.723932060460328,10.513792178345307,0.00013843600139239203,39.237862674807026
0.0010505252626313156,67.47087986378888,6.303151575787894e-05,4.202101050525263e-05,28.675202562455826,10.497439191361448,0.00015891887914942963,39.172800672696425
0.00112056028014007,67.47561048899217,6.72336168084042e-05,4.4822411205602804e-05,28.626507609295462,10.481096641411218,0.00018081436916557323,39.107785065075845
0.0011905952976488244,67.48034177760415,7.143571785892947e-05,4.762381190595298e-05,28.577847216950648,10.464764533368012,0.00020412247144082298,39.042815872790094
0.0012606303151575789,67.4850737297644,7.563781890945473e-05,5.0425212606303154e-05,28.52922140139952,10.448442872107531,0.00022884318597517865,38.977893116693025
0.0013306653326663333,67.48980634561248,7.983991995997999e-05,5.322661330665333e-05,28.480630178627568,10.432131662507583,0.00025497651276864045,38.91301681764792
0.0014007003501750877,67.49453962528806,8.404202101050526e-05,5.602801400700351e-05,28.432073564626855,10.415830909448063,0.0002825224518212082,38.848186996526735
0.0014707353676838418,67.4992735689308,8.82441220610305e-05,5.882941470735368e-05,28.38355157539651,10.399540617810937,0.000311481003132882,38.783403674210575
0.0015407703851925963,67.50400817668043,9.244622311155578e-05,6.163081540770385e-05,28.335064226942684,10.383260792480364,0.000341852166703662,38.718666871589754
0.0016108054027013507,67.50874344867671,9.664832416208104e-05,6.443221610805403e-05,28.286611535278176,10.366991438342612,0.00037363594253354783,38.65397660956332
0.001680840420210105,67.51347938505944,0.0001008504252126063,6.723361680840421e-05,28.238193516422935,10.35073256028601,0.0004068323306225398,38.58933290903957
0.0017508754377188595,67.51821598596844,0.00010505252626313157,7.003501750875438e-05,28.189810186403996,10.33448416320119,0.00044144133097063793,38.524735790936155
0.0018209104552276139,67.52295325154358,0.00010925462731365683,7.283641820910456e-05,28.141461561255166,10.31824625198069,0.00047746294357784184,38.46018527617944
0.0018909454727363683,67.52769118192481,0.0001134567283641821,7.563781890945473e-05,28.093147657016996,10.302018831519266,0.0005148971684441521,38.395681385704705
