lens,C814,C160,ratio_C160_C814,positive_C160_gt_C814,n_pix_814,n_pix_160
J0956,0.05754671876818062,0.07991767711872046,1.3887442903679408,True,7371,7169
J0959,0.3400426199001452,0.8683981599537658,2.5537921105559476,True,7523,7173
J1430,0.03240331359644454,0.1925158163802838,5.941238565225244,True,7553,7488
J2341,0.1967987290823663,0.8444456174344034,4.29090991274124,True,7402,7604
