lens,n_epochs,span_days,C814_epoch_min,C814_epoch_max,C814_epoch_mean,C814_relative_range
J0737,2,775.6263212659978,0.11425286886185643,0.13395801095857757,0.124105439910217,0.15877742434962283
J0912,3,773.6566480079928,0.10572738899020781,0.16020258663537557,0.12842046462050669,0.42419405509975816
J0956,2,732.1787551080051,0.13743063820447118,0.14299246180499256,0.14021155000473187,0.03966737119968844
J0959,2,383.82144646000233,0.13327964459459604,0.28216368236274536,0.20772166347867072,0.7167477636892554
