lens,F390W,F814W,F160W,C814_gt_C390,C160_gt_C814,full_hierarchy,R814_390,R160_814
J0252,0.1409832043013928,0.13865873594113537,0.8093705675416286,False,True,False,0.9835124448208157,5.837140819495352
J0737,0.003772278385983432,0.15328314279629915,,True,,,40.63410149310555,
J0912,0.4339447941176529,0.10572738899020781,,False,,,0.24364248730114402,
J0956,0.040809118711755805,0.05754671876818062,0.07991767711872046,True,True,True,1.410143629286541,1.3887442903679408
J0959,0.005697957305826051,0.3400426199001452,0.8683981599537658,True,True,True,59.677986627323136,2.5537921105559476
J1430,0.019096699704922768,0.03240331359644454,0.1925158163802838,True,True,True,1.6968017561742137,5.941238565225244
J1627,0.1795930887440381,0.22819267725411532,,True,,,1.270609458581911,
J2341,0.009895341953364943,0.1967987290823663,0.8444456174344034,True,True,True,19.88801700940151,4.29090991274124
