lens,proposal,date_obs,mjd,C814_mean,C814_std,n_files
J0737,10174,2004-09-21,53269.22543779,0.11425286886185643,3.691817276570361e-12,2
J0737,10494,2006-11-05,54044.851759056,0.13395801095857757,0.06559115685516437,5
J0912,10174,2004-10-12,53290.96167635,0.10572738899020781,0.0,2
J0912,10494,2005-11-05,53679.467598895,0.16020258663537557,0.09138782187445726,4
J0912,10494,2006-11-25,54064.618324357994,0.11933141823593665,0.0706278165513256,5
J0956,10174,2004-10-30,53308.6841198,0.13743063820447118,0.0,2
J0956,10494,2006-11-01,54040.862874908,0.14299246180499256,0.07210206123585211,5
J0959,10174,2004-10-19,53297.89284684,0.28216368236274536,0.0,2
J0959,10494,2005-11-07,53681.7142933,0.13327964459459604,0.1275038929958791,5
