lens,band,file,date_obs,mjd,proposal,Cdir,n_pix,source
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10174_45_acs_wfc_f814w_j93i45m5/hst_10174_45_acs_wfc_f814w_j93i45m5_drc.fits,2004-10-30,53308.6841198,10174,0.13743063820447118,7988,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714/hst_10494_14_acs_wfc_f814w_j9c714_drc.fits,2006-11-01,54040.85223609,10494,0.16170339446810136,7632,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714js/hst_10494_14_acs_wfc_f814w_j9c714js_drc.fits,2006-11-01,54040.85223609,10494,0.13819421896614603,7303,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714ju/hst_10494_14_acs_wfc_f814w_j9c714ju_drc.fits,2006-11-01,54040.86110165,10494,0.2411526772619288,4858,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714jw/hst_10494_14_acs_wfc_f814w_j9c714jw_drc.fits,2006-11-01,54040.86996758,10494,0.13442237017265862,7338,mast_f814w_epoch
J0956,F814W,data/mast_f814w_epochs/J0956/mastDownload/HST/hst_10494_14_acs_wfc_f814w_j9c714jy/hst_10494_14_acs_wfc_f814w_j9c714jy_drc.fits,2006-11-01,54040.87883313,10494,0.03948964815612797,8022,mast_f814w_epoch
J0959,F160W,data/J0959_multiband/F160W.fits,2005-11-07,53681.79583127,10494,0.8683981599537658,7173,local_multiband
J0959,F390W,data/J0959_multiband/F390W.fits,2013-06-07,56450.17614983,12898,0.005697957305826051,7489,local_multiband
J0959,F814W,data/J0959_multiband/F814W.fits,2004-10-19,53297.89284684,10174,0.3400426199001452,7523,local_multiband
J0959,F814W,data/mast_f814w_epochs/J0959/mastDownload/HST/hst_10174_18_acs_wfc_f814w_j93i18/hst_10174_18_acs_wfc_f814w_j93i18_drc.fits,2004-10-19,53297.89284684,10174,0.28216368236274536,7536,mast_f814w_epoch
J0959,F814W,data/mast_f814w_epochs/J0959/mastDownload/HST/hst_10174_18_acs_wfc_f814w_j93i18j5/hst_10174_18_acs_wfc_f814w_j93i18j5_drc.fits,2004-10-19,53297.89284684,10174,0.28216368236274536,7536,mast_f814w_epoch
J0959,F814W,data/mast_f814w_epochs/J0959/mastDownload/HST/hst_10494_04_acs_wfc_f814w_j9c704cv/hst_10494_04_acs_wfc_f814w_j9c704cv_drc.fits,2005-11-07,53681.67930019,10494,0.05590206142549892,7922,mast_f814w_epoch
J0959,F814W,data/mast_f814w_epochs/J0959/mastDownload/HST/hst_10494_04_acs_wfc_f814w_j9c704cx/hst_10494_04_acs_wfc_f814w_j9c704cx_drc.fits,2005-11-07,53681.7293813,10494,0.04623779845487679,7758,mast_f814w_epoch
J0959,F814W,data/mast_f814w_epochs/J0959/mastDownload/HST/hst_10494_04_acs_wfc_f814w_j9c704d1/hst_10494_04_acs_wfc_f814w_j9c704d1_drc.fits,2005-11-07,53681.74586278,10494,0.33953122583006473,7646,mast_f814w_epoch
J1430,F160W,data/J1430_multiband/F160W.fits,2010-07-10,55387.46066889,11202,0.1925158163802838,7488,local_multiband
J1430,F390W,data/J1430_multiband/F390W.fits,2013-05-05,56414.97956369,12898,0.019096699704922768,7424,local_multiband
J1430,F814W,data/J1430_multiband/F814W.fits,2006-12-18,54087.09899631,10886,0.03240331359644454,7553,local_multiband
J1627,F390W,data/j1627_multiband/F390W.fits,2013-06-16,56459.63097612,12898,0.1795930887440381,7345,local_multiband
J1627,F814W,data/j1627_multiband/F814W.fits,2005-03-20,53449.96214165,10174,0.22819267725411532,7301,local_multiband
J2341,F160W,data/J2341_multiband/F160W.fits,2008-07-20,54667.8993134,11202,0.8444456174344034,7604,local_multiband
J2341,F390W,data/J2341_multiband/F390W.fits,2013-06-05,56440.2635802,12898,0.009895341953364943,7488,local_multiband
J2341,F814W,data/J2341_multiband/F814W.fits,2006-08-24,53971.68184134,10886,0.1967987290823663,7402,local_multiband
