lens,F390W_mean,F390W_min,F390W_max,F390W_n_epochs,F390W_span_days,F814W_mean,F814W_min,F814W_max,F814W_n_epochs,F814W_span_days,F160W_mean,F160W_min,F160W_max,F160W_n_epochs,F160W_span_days,C814_gt_C390,C160_gt_C814,full_hierarchy,R814_390,R160_814,F814W_relative_range
J0252,0.1409832043013928,0.1409832043013928,0.1409832043013928,1,0.0,0.13865873594113537,0.13865873594113537,0.13865873594113537,1,0.0,0.8093705675416286,0.8093705675416286,0.8093705675416286,1,0.0,False,True,False,0.9835124448208157,5.837140819495352,
J0737,0.003772278385983432,0.003772278385983432,0.003772278385983432,1,0.0,0.13383134087224438,0.11425286886185643,0.15328314279629915,3,775.6263212659978,,,,0,,True,,,35.47758865557707,,0.2916377709441101
J0912,0.4339447941176529,0.4339447941176529,0.4339447941176529,1,0.0,0.12274719571293197,0.10572738899020781,0.16020258663537557,4,773.6566480079928,,,,0,,False,,,0.28286362084955036,,0.4437999363551126
J0956,0.040809118711755805,0.040809118711755805,0.040809118711755805,1,0.0,0.1126566062592148,0.05754671876818062,0.14299246180499256,3,732.1787551080051,0.07991767711872046,0.07991767711872046,0.07991767711872046,1,0.0,True,False,False,2.7605743474867546,0.7093918392573942,0.7584618947264166
J0959,0.005697957305826051,0.005697957305826051,0.005697957305826051,1,0.0,0.25647666583323464,0.14722369523681347,0.3400426199001452,3,383.82533458334365,0.8683981599537658,0.8683981599537658,0.8683981599537658,1,0.0,True,True,True,45.012037133200735,3.3858758929688078,0.7517990926656298
J1430,0.019096699704922768,0.019096699704922768,0.019096699704922768,1,0.0,0.03240331359644454,0.03240331359644454,0.03240331359644454,1,0.0,0.1925158163802838,0.1925158163802838,0.1925158163802838,1,0.0,True,True,True,1.6968017561742137,5.941238565225244,
J1627,0.1795930887440381,0.1795930887440381,0.1795930887440381,1,0.0,0.22819267725411532,0.22819267725411532,0.22819267725411532,1,0.0,,,,0,,True,,,1.270609458581911,,
J2341,0.009895341953364943,0.009895341953364943,0.009895341953364943,1,0.0,0.1967987290823663,0.1967987290823663,0.1967987290823663,1,0.0,0.8444456174344034,0.8444456174344034,0.8444456174344034,1,0.0,True,True,True,19.88801700940151,4.29090991274124,
