short,base_name,target_name,obs_id,proposal_id,filters,instrument,t_exptime,dataURL
J0903,SDSS-J090315.19+411609.2,SDSSJ0903+4116,hst_mos_0034561_wfc3_ir_f160w_uvis_f390w,0,F160W;F390W,WFC3/IR,16028.927734375,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_mos_0034561_wfc3_ir_f160w&amp;blue=hst_mos_0034561_wfc3_uvis_f390w&amp;size=ALL&amp;format=fits
J0903,SDSS-J090315.19+411609.2,SDSS-J090315.19+411609.2,hst_mos_0034561_wfc3_uvis_f390w,12898,F390W,WFC3/UVIS,13632.0,--
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_10174_45_acs_wfc_f435w_j93i45,10174,F435W,ACS/WFC,420.0,mast:HST/product/hst_10174_45_acs_wfc_f435w_j93i45_drc.fits
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_10174_45_acs_wfc_f814w_j93i45,10174,F814W,ACS/WFC,420.0,mast:HST/product/hst_10174_45_acs_wfc_f814w_j93i45_drc.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_10494_14_acs_wfc_f555w_j9c714,10494,F555W,ACS/WFC,2380.0,mast:HST/product/hst_10494_14_acs_wfc_f555w_j9c714_drc.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_10494_14_acs_wfc_f814w_j9c714,10494,F814W,ACS/WFC,2440.0,mast:HST/product/hst_10494_14_acs_wfc_f814w_j9c714_drc.fits
J0956,SDSS-J095629.78+510006.6,SDSS-J095629.78+510006.6,hst_12898_16_wfc3_uvis_f390w_ibzi16,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/hst_12898_16_wfc3_uvis_f390w_ibzi16_drc.fits
J0956,SDSS-J095629.78+510006.6,SDSS-J095629.78+510006.6,hst_12898_17_wfc3_uvis_f390w_ibzi17,12898,F390W,WFC3/UVIS,2292.0,mast:HST/product/hst_12898_17_wfc3_uvis_f390w_ibzi17_drc.fits
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_skycell-p2314x13y15_acs_wfc_f435w_all,--,F435W,ACS/WFC,420.0,mast:HST/product/hst_skycell-p2314x13y15_acs_wfc_f435w_all_drc.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,hst_skycell-p2314x13y15_acs_wfc_f555w_all,--,F555W,ACS/WFC,1785.0,mast:HST/product/hst_skycell-p2314x13y15_acs_wfc_f555w_all_drc.fits
J0956,SDSS-J095629.78+510006.6,0902-52409-068,hst_skycell-p2314x13y15_acs_wfc_f814w_all,--,F814W,ACS/WFC,2860.0,mast:HST/product/hst_skycell-p2314x13y15_acs_wfc_f814w_all_drc.fits
J0956,SDSS-J095629.78+510006.6,SDSS-J095629.78+510006.6,hst_skycell-p2314x13y15_wfc3_uvis_f390w_all,--,F390W,WFC3/UVIS,4584.0,mast:HST/product/hst_skycell-p2314x13y15_wfc3_uvis_f390w_all_drc.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,j9c714010,10494,F555W,ACS/WFC,2380.0,mast:HST/product/j9c714010_drz.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,j9c714020,10494,F814W,ACS/WFC,2440.0,mast:HST/product/j9c714020_drz.fits
J0956,SDSS-J095629.78+510006.6,GAL-0902-52409-068,n9c7b4010,10494,F160W,NICMOS/NIC2,2815.9489750000002,mast:HST/product/n9c7b4010_mos.fits
