intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J091205.31+002901.1,GALAXY;GRAVITATIONAL LENS,ibzi11010,138.022125,0.4836666666667,image,"Koopmans, Leon",3,56428.110674421296,56428.14160054398,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56793.38163194,12898,GO,--,POLYGON 138.04810806 0.48110426 138.04806688101056 0.48108875511929966 138.04806001 0.48110402 138.00562823 0.46512727 138.0056394667788 0.46510230632632082 138.00562394 0.46509646 138.01493525 0.44441035 138.01497642883027 0.44442585511496441 138.0149833 0.44441059 138.05741498 0.46038728 138.057403739518 0.4604122524015648 138.05741927 0.4604181 138.04810806 0.48110426 138.04810806 0.48110426,mast:HST/product/ibzi11010_drz.jpg,mast:HST/product/ibzi11010_drz.fits,PUBLIC,False,,24808077,923906109,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J163028.16+452036.2,GALAXY;GRAVITATIONAL LENS,ibzi26010,247.6172916667,45.34341666667,image,"Koopmans, Leon",3,56467.74966898148,56467.76441431713,2284.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56832.96649293,12898,GO,--,POLYGON -112.36252636 45.30360793 -112.35538822000001 45.32573063 -112.35544827604663 45.325743045890121 -112.35544300999999 45.32575936 -112.41732367999998 45.33853289 -112.42443927 45.31640634 -112.4243791856281 45.316393955471128 -112.42438444000004 45.31637761 -112.36252636 45.30360793 -112.36252636 45.30360793,mast:HST/product/ibzi26010_drz.jpg,mast:HST/product/ibzi26010_drz.fits,PUBLIC,False,,24808092,923906911,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J234111.57+000018.6,GALAXY;GRAVITATIONAL LENS,ibzi30010,355.2982083333,0.005194444444444,image,"Koopmans, Leon",3,56448.9500272338,56448.98095297454,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56814.19611107,12898,GO,--,POLYGON -4.7032364399999551 0.02996842 -4.7032620353717975 0.029978125927746374 -4.7032551899999362 0.02999324 -4.7244663399999354 0.03803664 -4.724484495604325 0.037996553757921235 -4.72450015000004 0.03800249 -4.7432055300000684 -0.00329763 -4.7219943899999635 -0.01134103 -4.7219830797615163 -0.011316057827815902 -4.7219418299999916 -0.0113317 -4.7032364399999551 0.02996842 -4.7032364399999551 0.02996842,mast:HST/product/ibzi30010_drz.jpg,mast:HST/product/ibzi30010_drz.fits,PUBLIC,False,,24808096,923907004,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J163028.16+452036.2,GALAXY;GRAVITATIONAL LENS,ibzi25010,247.6172916667,45.34341666667,image,"Koopmans, Leon",3,56467.67454155093,56467.70555987269,2284.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56833.48587966,12898,GO,--,POLYGON -112.36255762999997 45.30358591 -112.36254901697947 45.303612614363331 -112.36252636 45.30360793 -112.35538822000001 45.32573063 -112.35544827604663 45.325743045890121 -112.35544300999999 45.32575936 -112.41732367999998 45.33853289 -112.41733227708491 45.338506167306925 -112.41735489999996 45.33851083 -112.42447044 45.31638429 -112.42441043969066 45.316371922832772 -112.42441568999999 45.31635559 -112.36255762999997 45.30358591 -112.36255762999997 45.30358591,mast:HST/product/ibzi25010_drz.jpg,mast:HST/product/ibzi25010_drz.fits,PUBLIC,False,,24808091,923907051,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J163028.16+452036.2,GALAXY;GRAVITATIONAL LENS,ibzi24010,247.6172916667,45.34341666667,image,"Koopmans, Leon",3,56459.52050170139,56459.582445914355,2284.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56825.69365725,12898,GO,--,POLYGON -112.36261235 45.30361465 -112.36260374506152 45.303641329491768 -112.36258115999999 45.30363666 -112.35544300999999 45.32575936 -112.41732367999998 45.33853289 -112.41733227708491 45.338506167306925 -112.41735489999996 45.33851083 -112.42447044 45.31638429 -112.36261235 45.30361465 -112.36261235 45.30361465,mast:HST/product/ibzi24010_drz.jpg,mast:HST/product/ibzi24010_drz.fits,PUBLIC,False,,24808090,923907070,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J162746.44-005357.5,GALAXY;GRAVITATIONAL LENS,ibzi23010,246.9435416667,-0.8993333333333,image,"Koopmans, Leon",3,56459.85564059028,56459.86222627315,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56825.12084497,12898,GO,--,POLYGON -113.07597977 -0.93409783 -113.03065358000003 -0.93280537 -113.03272297000001 -0.910215 -113.07804887999998 -0.91150743 -113.07597977 -0.93409783 -113.07597977 -0.93409783,mast:HST/product/ibzi23010_drz.jpg,mast:HST/product/ibzi23010_drz.fits,PUBLIC,False,,24808089,923907090,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J162746.44-005357.5,GALAXY;GRAVITATIONAL LENS,ibzi22010,246.9435416667,-0.8993333333333,image,"Koopmans, Leon",3,56459.70646241898,56459.77550146991,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56825.01326384,12898,GO,--,POLYGON -113.07599386999999 -0.93412557 -113.03066767000001 -0.9328331 -113.03067016688537 -0.93280584307615311 -113.03065358000003 -0.93280537 -113.03272297000001 -0.910215 -113.03276696252557 -0.91021625468645717 -113.03276848999997 -0.91019958 -113.0780944 -0.91149201 -113.07809190255328 -0.911519277123681 -113.07810848999998 -0.91151975 -113.07603938 -0.93411015 -113.07599539720377 -0.93410889612040782 -113.07599386999999 -0.93412557 -113.07599386999999 -0.93412557,mast:HST/product/ibzi22010_drz.jpg,mast:HST/product/ibzi22010_drz.fits,PUBLIC,False,,24808088,923907096,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J091205.31+002901.1,GALAXY;GRAVITATIONAL LENS,ibzi12010,138.022125,0.4836666666667,image,"Koopmans, Leon",3,56428.310014814815,56428.340940891205,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56793.44021987,12898,GO,--,POLYGON 138.04810806 0.48110426 138.04806688101056 0.48108875511929966 138.04806001 0.48110402 138.00562823 0.46512727 138.0056394667788 0.46510230632632082 138.00562394 0.46509646 138.01493525 0.44441035 138.01497642883027 0.44442585511496441 138.0149833 0.44441059 138.05741498 0.46038728 138.057403739518 0.4604122524015648 138.05741927 0.4604181 138.04810806 0.48110426 138.04810806 0.48110426,mast:HST/product/ibzi12010_drz.jpg,mast:HST/product/ibzi12010_drz.fits,PUBLIC,False,,24808078,923907317,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J091205.31+002901.1,GALAXY;GRAVITATIONAL LENS,ibzi13010,138.022125,0.4836666666667,image,"Koopmans, Leon",3,56419.69935517361,56419.76735274305,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56784.92883089,12898,GO,--,POLYGON 138.04810806 0.48110426 138.00567629 0.46512751 138.00568065411321 0.46511781466825319 138.00562394 0.46509646 138.01493525 0.44441035 138.01497642883027 0.44442585511496446 138.0149833 0.44441059 138.05741498 0.46038728 138.057403739518 0.4604122524015648 138.05741927 0.4604181 138.04810806 0.48110426 138.04810806 0.48110426,mast:HST/product/ibzi13010_drz.jpg,mast:HST/product/ibzi13010_drz.fits,PUBLIC,False,,24808079,923907429,331.2,443.0
science,HST,CALWF3,WFC3/UVIS,HST,F390W,OPTICAL,SDSS-J091205.31+002901.1,GALAXY;GRAVITATIONAL LENS,ibzi14010,138.022125,0.4836666666667,image,"Koopmans, Leon",3,56429.30675112268,56429.33767681713,2276.0,OPTICAL,331.2,443.0,Discovering the Dark Side of CDM Substructure,56794.51504626,12898,GO,--,POLYGON 138.04810806 0.48110426 138.04806688101056 0.48108875511929966 138.04806001 0.48110402 138.00562823 0.46512727 138.0056394667788 0.46510230632632082 138.00562394 0.46509646 138.01493525 0.44441035 138.01497642883027 0.44442585511496441 138.0149833 0.44441059 138.05741498 0.46038728 138.057403739518 0.4604122524015648 138.05741927 0.4604181 138.04810806 0.48110426 138.04810806 0.48110426,mast:HST/product/ibzi14010_drz.jpg,mast:HST/product/ibzi14010_drz.fits,PUBLIC,False,,24808080,923907449,331.2,443.0
