z,A_sn,ratio_to_lens_mean,ratio_to_lens_median
0.05,0.7938,0.3855908685331846,0.3605191824288499
0.15,0.3359,0.16316449072851688,0.15255529526058287
0.25,0.3283,0.15947276661557633,0.14910361248600582
0.4,0.0527,0.02559919220420613,0.023934695028975043
0.75,1.0422,0.5062519566456097,0.4733347089031839
