sim,C390,C814,ratio,C814_gt_C390
0,0.09495571860707452,0.10063126850881311,1.0597704907613195,True
1,0.10241697871229886,0.11491270413317221,1.122008338636656,True
2,0.11264474084170871,0.12933712620887475,1.1481861047611854,True
3,0.31667454956126895,0.32124674751814036,1.014438160449603,True
4,0.1321057416243035,0.1431664916073168,1.0837264894547054,True
5,0.29617832226806556,0.30093989412588956,1.0160767061591847,True
6,0.11347101005251513,0.11823921279408496,1.0420213298477123,True
7,0.1822373239109108,0.1821351262489554,0.9994392056480956,False
8,0.14794012361273604,0.15681361060383014,1.0599802594076662,True
9,0.29525816661188076,0.3018647595300048,1.0223756483823476,True
10,0.2502813930340731,0.25749077938824977,1.0288051231726811,True
11,0.27417627163790337,0.2869300601019019,1.0465167477397246,True
12,0.2670996893944759,0.2703105929752078,1.0120213677073573,True
13,0.2675169826428926,0.2771756745486113,1.0361049672820661,True
14,0.2012831344501663,0.2086485784906255,1.0365924550041363,True
15,0.1081841826271764,0.10314078773885853,0.9533814022915126,False
16,0.11103623642996614,0.11959150518834104,1.0770493402284123,True
17,0.21782974605544655,0.22463876063627344,1.0312584240863676,True
18,0.2788775553492664,0.28876056388885074,1.0354385225702616,True
19,0.22179581790579647,0.2451266911855665,1.1051907718552176,True
20,0.24447717963649349,0.2549522733163259,1.0428469180453062,True
21,0.18574575693183604,0.2049707576945226,1.103501695437068,True
22,0.2007702786117737,0.2172429527038932,1.0820473737747431,True
23,0.11470188062872658,0.11325737632114492,0.98740644617452,False
24,0.2604410524148016,0.261708080165975,1.0048649310061744,True
25,0.2669308428486629,0.28197421376607423,1.0563568104639756,True
26,0.22286574261228503,0.22108966378900127,0.992030723060145,False
27,0.13876512630757246,0.14248026172282144,1.0267728320083418,True
28,0.12206134459526251,0.13245551322405077,1.08515528534651,True
29,0.2218533283271157,0.24363053818202537,1.0981603928105141,True
30,0.10334137636894858,0.10494179401236862,1.015486707257568,True
31,0.2549962726100784,0.2629247012469958,1.0310923314908251,True
32,0.2790262048467556,0.29697401698278497,1.0643230342680055,True
33,0.153621118905258,0.15394964116466325,1.0021385227613648,True
34,0.1442259434980588,0.15804023524600566,1.095782294176032,True
35,0.33037878815380867,0.35003985851231295,1.0595106921614805,True
36,0.10639918417954933,0.11115562603207002,1.0447037436348587,True
37,0.33516324480239607,0.3562406920709846,1.0628871082836522,True
38,0.1836308157842187,0.19607045271735288,1.0677426437387927,True
39,0.26037631737324085,0.2608521385880894,1.0018274366103983,True
40,0.3037018071319524,0.33535633401878434,1.1042289711271909,True
41,0.11427726329110939,0.11647194897505782,1.0192049198654478,True
42,0.30049708917221885,0.3071694004299883,1.0222042458918645,True
43,0.14745326105144335,0.16464896693565262,1.116618010083955,True
44,0.17807034008151232,0.18793293971357103,1.0553859762807443,True
45,0.24470665995282528,0.2546164541505107,1.040496626448973,True
46,0.12272171247286617,0.12987809300724326,1.058313890754738,True
47,0.3414913239276106,0.374413385001451,1.0964067276884002,True
48,0.20106554938944998,0.20294398807534944,1.0093424193831488,True
49,0.2142954674007956,0.23330690535975865,1.0887160059405552,True
50,0.14261561941824843,0.15491526728769528,1.0862433436086387,True
51,0.18877179104986344,0.20187477218813982,1.0694117540836134,True
52,0.12842090707449336,0.14598750218591344,1.13678921533571,True
53,0.17007322915634926,0.17818890795542316,1.0477187317447423,True
54,0.20296705663181835,0.204718622065146,1.008629801616057,True
55,0.2734047761894997,0.3003446754736848,1.0985348524618048,True
